Consejo Departamental;Ano;AGRICOLA;AGRO NOMICA;CIVIL;ECONOMICA;ELECTRICA;ELEC TRONICA;FORESTAL;GEOLOGICA;INDUSTRIAL Y DE SISTEMAS;INDUSTRIAS ALIMENTARIAS;MECANICA;MECANICA ELECTRICA;META LURGICA;MINAS;PESQUERIA;PETROLERA Y     PETRO QUIMICA;QUIMICA;SANITARIA Y AMBIENTAL;ZOOTECNIA
AMAZONAS;2005;19;75;55;1;4;1;6;3;16;1;4;3;;1;6;1;3;3;26
ANCASH CHIMBOTE;2005;18;107;353;1;25;13;2;6;155;8;40;56;10;4;81;;88;4;7
ANCASH HUARAZ;2005;152;147;304;2;9;3;7;10;36;46;7;8;8;53;10;;15;62;17
APURIMAC;2005;11;125;58;3;13;;5;8;11;3;;6;1;9;1;1;17;;21
AREQUIPA;2005;54;831;1007;17;71;185;3;646;657;103;111;309;288;65;72;;639;6;82
AYACUCHO;2005;11;499;374;;15;2;6;4;8;30;2;15;;137;2;;139;;9
CAJAMARCA;2005;129;559;957;;5;3;38;10;49;12;4;18;5;21;3;;18;5;124
CALLAO;2005;7;10;140;4;60;25;1;46;45;10;39;19;4;4;29;1;34;19;1
CUSCO;2005;16;835;1419;3;398;11;9;138;148;2;39;30;58;79;;1;401;;263
HUANCAVELICA;2005;7;52;49;1;7;1;7;3;9;1;5;5;11;27;5;;14;;32
HUANUCO;2005;10;316;420;1;15;2;7;6;87;3;5;11;4;11;13;;5;;17
HUANUCO TINGO MARIA;2005;4;216;18;1;;1;40;1;3;63;1;2;1;2;2;;6;1;86
ICA;2005;11;873;833;3;15;6;;17;25;;24;543;6;52;115;;160;4;9
JUNIN;2005;31;639;342;;326;10;239;16;99;101;179;24;87;255;8;;313;5;347
LA LIBERTAD;2005;139;730;1371;3;32;134;12;23;1457;22;257;101;186;59;25;5;1305;11;97
LAMBAYEQUE;2005;770;1277;1131;4;7;15;14;7;250;8;26;337;3;10;16;;203;8;246
LIMA;2005;1199;4193;11092;599;1384;1668;297;1262;5216;597;1885;2796;572;1563;1185;384;3394;818;753
LORETO;2005;3;373;191;1;11;6;198;3;27;76;15;30;1;2;13;4;237;11;7
MADRE DE DIOS;2005;1;43;29;1;4;;29;3;4;1;1;;2;3;5;;11;;12
MOQUEGUA;2005;6;66;114;6;5;12;;18;35;6;33;16;29;23;10;;53;2;6
PASCO;2005;1;27;8;1;4;;1;45;4;;6;4;50;143;1;;24;2;40
PIURA;2005;75;880;545;2;26;18;;16;748;7;62;169;2;146;178;67;142;8;138
PUNO;2005;132;677;477;455;42;28;4;55;160;12;10;104;29;120;21;1;90;;31
S.M. MOYOBAMBA;2005;20;98;67;;;1;11;2;11;6;2;7;;1;4;;4;16;15
S.M. TARAPOTO;2005;20;276;278;1;8;5;28;;76;12;11;5;;;4;;16;10;53
TACNA;2005;32;221;245;18;22;42;2;38;167;46;24;33;74;90;66;;47;2;22
TUMBES;2005;22;211;68;;2;2;1;2;35;1;1;6;;6;55;1;10;1;6
UCAYALI;2005;6;165;97;5;13;5;101;2;31;5;5;11;2;;4;3;30;2;31
AMAZONAS;2006;19;76;56;1;5;1;7;3;22;3;4;5;;1;7;1;3;3;27
ANCASH CHIMBOTE;2006;19;116;432;2;26;16;2;6;194;9;45;68;11;4;84;;89;4;7
ANCASH HUARAZ;2006;176;155;364;2;9;3;7;10;38;50;7;8;8;62;10;;17;68;18
APURIMAC;2006;12;141;63;3;13;;5;8;17;6;1;7;1;9;1;1;17;;24
AREQUIPA;2006;54;867;1095;17;87;211;3;659;724;125;138;330;314;75;76;;678;6;82
AYACUCHO;2006;13;527;440;;17;2;7;4;16;37;2;15;1;144;2;;147;;10
CAJAMARCA;2006;128;583;1029;1;5;4;51;13;72;12;4;19;5;21;3;;18;8;141
CALLAO;2006;8;15;163;4;78;30;3;48;68;10;43;23;4;6;36;1;39;28;1
CUSCO;2006;17;89;1598;3;434;12;10;151;189;3;46;33;64;82;2;1;412;;272
HUANCAVELICA;2006;9;55;61;1;8;7;7;3;11;1;5;6;11;27;5;;14;;35
HUANUCO;2006;10;323;446;1;17;2;7;6;97;4;5;12;4;11;13;;5;1;17
HUANUCO TINGO MARIA;2006;4;235;19;;;1;42;1;5;66;1;2;1;2;2;;6;1;93
ICA;2006;11;893;889;3;16;5;1;17;27;;24;591;6;55;120;1;170;4;9
JUNIN;2006;37;655;382;;355;12;251;17;135;111;199;31;99;271;9;;331;5;380
LA LIBERTAD;2006;145;763;1473;5;33;155;13;23;1541;23;273;107;206;65;27;5;1337;11;98
LAMBAYEQUE;2006;812;1307;1232;4;6;20;17;6;298;9;27;438;3;10;17;;224;7;258
LIMA;2006;1283;4250;11394;620;1494;1756;318;1297;5552;614;1988;2883;612;1622;1237;401;3469;937;765
LORETO;2006;2;379;215;1;11;6;205;3;31;82;15;31;1;2;13;4;243;12;8
MADRE DE DIOS;2006;1;44;30;1;5;;32;3;7;1;2;;3;3;5;;12;2;13
MOQUEGUA;2006;7;78;132;6;5;15;;18;52;8;42;18;30;25;12;;53;3;6
PASCO;2006;1;29;11;1;4;;1;50;4;;6;4;54;149;1;;24;3;48
PIURA;2006;76;944;653;2;27;22;1;22;838;15;63;180;2;173;197;77;156;9;150
PUNO;2006;153;717;607;486;44;36;4;57;215;11;11;135;35;129;23;1;99;;31
S.M. MOYOBAMBA;2006;20;100;73;;;2;11;2;16;17;2;8;;1;4;;4;32;15
S.M. TARAPOTO;2006;21;291;316;2;10;6;30;;98;13;11;6;;;4;;17;12;55
TACNA;2006;33;239;287;21;22;47;2;40;202;52;28;36;77;101;75;;52;2;22
TUMBES;2006;22;225;75;;2;2;1;2;37;1;1;7;;6;64;2;10;1;7
UCAYALI;2006;6;175;106;4;17;7;114;2;36;7;5;13;2;1;4;4;30;2;32
AMAZONAS;2007;19;77;61;1;6;1;8;3;26;5;4;8;0;1;10;1;4;3;30
ANCASH CHIMBOTE;2007;19;122;474;2;26;19;2;6;261;9;50;81;14;4;91;0;92;4;7
ANCASH HUARAZ;2007;212;182;418;2;9;4;9;10;54;56;7;8;8;66;11;0;17;86;20
APURIMAC;2007;21;200;134;5;35;2;7;12;34;13;6;15;2;16;3;1;22;0;30
AREQUIPA;2007;56;933;1183;18;98;236;3;676;817;146;164;363;347;84;95;0;715;6;81
AYACUCHO;2007;14;578;466;0;17;2;7;4;25;45;2;16;1;174;3;0;154;0;11
CAJAMARCA;2007;130;607;1071;1;7;7;64;13;89;16;4;25;7;22;3;0;18;11;153
CALLAO;2007;12;35;184;4;91;40;5;50;95;14;54;30;4;7;69;1;50;38;3
CUSCO;2007;17;930;1645;4;438;15;10;171;244;4;55;49;69;89;3;1;420;0;299
HUANCAVELICA;2007;10;60;77;1;10;16;7;3;14;1;6;6;13;33;6;0;14;0;45
